CcnId,Hsi
420065,HSI00000173
420019,HSI00000249
420018,HSI00000807
420026,HSI00000584
420086,HSI00000807
420049,HSI00000271
420079,HSI00000492
420057,HSI00000637
420005,HSI00000637
420015,HSI00000807
420043,HSI00000249
420020,HSI00001096
420078,HSI00000424
420023,HSI00000125
423300,HSI00000981
420071,HSI00001354
420033,HSI00000424
420010,HSI00000584
424010,HSI00001148
420080,HSI00001066
420106,HSI00000807
420036,HSI00000249
420105,HSI00000637
420109,HSI00000637
420089,HSI00001066
420085,HSI00000492
420107,HSI00000637
420011,HSI00000173
420002,HSI00001066
420009,HSI00000424
420037,HSI00000424
420083,HSI00000249
420007,HSI00001020
420070,HSI00000807
422008,HSI00000424
420108,HSI00001020
420072,HSI00000173
424008,HSI00001148
420030,HSI00000492
420073,HSI00000579
113029,HSI00000724
114010,HSI00001148
110101,HSI00001097
110129,HSI00000584
110029,HSI00000759
113300,HSI00000209
110229,HSI00000826
110215,HSI00000826
110044,HSI00000823
110226,HSI00000342
110074,HSI00000826
110006,HSI00001106
110078,HSI00000342
110115,HSI00001244
110079,HSI00000412
110161,HSI00000766
110083,HSI00000826
110082,HSI00000342
112007,HSI00001244
110034,HSI00000064
114004,HSI00001148
110039,HSI00001151
110177,HSI00000492
110028,HSI00001151
110143,HSI00001244
114032,HSI00001148
110132,HSI00001330
110087,HSI00000431
111320,HSI00001061
110025,HSI00001006
110121,HSI00000045
110023,HSI00000010
111331,HSI00000045
110008,HSI00000766
110011,HSI00001061
110030,HSI00000492
110230,HSI00000342
110050,HSI00000010
111330,HSI00000369
110200,HSI00000826
110064,HSI00000826
000000,HSI00000826
110018,HSI00000826
110005,HSI00000766
111300,HSI00000823
110042,HSI00001244
110001,HSI00000444
110007,HSI00000823
110076,HSI00000342
000000,HSI00000759
110125,HSI00000492
112006,HSI00000342
110184,HSI00001244
110026,HSI00000173
110010,HSI00000342
110073,HSI00000823
111318,HSI00000251
110236,HSI00000183
111310,HSI00000724
111329,HSI00001106
110031,HSI00001244
111335,HSI00000492
111308,HSI00000999
111319,HSI00001244
110225,HSI00000826
110016,HSI00001244
111326,HSI00000999
110164,HSI00000492
110107,HSI00000724
110201,HSI00000492
110035,HSI00001244
110150,HSI00000724
110209,HSI00001148
110046,HSI00000826
110105,HSI00000235
110234,HSI00000999
110165,HSI00000845
110054,HSI00000369
110168,HSI00000492
110146,HSI00001006
110198,HSI00001244
110036,HSI00000492
114016,HSI00001148
110043,HSI00000927
110192,HSI00000492
110024,HSI00000927
110075,HSI00000249
110191,HSI00000826
111328,HSI00000823
110038,HSI00000045
110111,HSI00001151
110095,HSI00001097
110122,HSI00000999
110015,HSI00001061
113028,HSI00000064
110069,HSI00000497
111325,HSI00000064
110003,HSI00000492
110045,HSI00000759
110153,HSI00000497
114008,HSI00001148
110091,HSI00000826
111332,HSI00000045
110027,HSI00001106
113031,HSI00000342
101305,HSI00001060
100084,HSI00000195
100109,HSI00000010
100121,HSI00001106
100150,HSI00000249
100281,HSI00000653
100168,HSI00000767
100224,HSI00000492
100009,HSI00001176
100268,HSI00001066
100072,HSI00000010
100246,HSI00000492
100002,HSI00000077
100087,HSI00000962
100075,HSI00001106
100213,HSI00000492
100017,HSI00000441
100118,HSI00000010
100035,HSI00001148
100071,HSI00000249
100244,HSI00000575
100243,HSI00000492
100080,HSI00000492
100052,HSI00001106
100258,HSI00001066
100001,HSI00001121
100292,HSI00000055
100291,HSI00001037
100127,HSI00001106
100051,HSI00000796
100177,HSI00000461
104017,HSI00001148
100290,HSI00000195
100286,HSI00000249
100296,HSI00000077
100299,HSI00001148
100285,HSI00000653
100122,HSI00000249
100249,HSI00000249
100046,HSI00000010
102016,HSI00000492
100316,HSI00000461
104078,HSI00001148
104071,HSI00001148
100211,HSI00000010
100307,HSI00000055
100276,HSI00000745
100265,HSI00001106
100045,HSI00000010
100043,HSI00001106
100228,HSI00000492
100057,HSI00000010
100140,HSI00000075
100289,HSI00001078
100039,HSI00000745
100200,HSI00000745
102021,HSI00001106
100204,HSI00000492
100073,HSI00001106
104026,HSI00001148
100012,HSI00000575
100266,HSI00000076
100223,HSI00000492
100131,HSI00000492
100113,HSI00001121
100137,HSI00000249
100053,HSI00001066
100038,HSI00000653
100125,HSI00000077
100023,HSI00000492
101313,HSI00000077
100088,HSI00000075
100220,HSI00000575
100151,HSI00000631
100256,HSI00000492
100040,HSI00000055
104016,HSI00001148
102026,HSI00000010
100315,HSI00000461
100313,HSI00000055
104069,HSI00001148
104027,HSI00000076
104072,HSI00001148
100179,HSI00000492
100117,HSI00000075
100314,HSI00000077
104073,HSI00001148
100110,HSI00000492
100156,HSI00000492
100102,HSI00000249
100157,HSI00000569
100099,HSI00000249
100107,HSI00000845
100248,HSI00000492
101301,HSI00000249
100189,HSI00000492
100209,HSI00000492
100240,HSI00001176
100019,HSI00000461
100022,HSI00000523
100008,HSI00000077
100079,HSI00001176
100029,HSI00001066
103301,HSI00000678
100034,HSI00000712
100124,HSI00000249
100014,HSI00000010
100018,HSI00000716
100062,HSI00000010
100054,HSI00000492
100063,HSI00001106
100252,HSI00000492
100212,HSI00000492
100319,HSI00000010
100320,HSI00000492
103304,HSI00000725
100007,HSI00000010
100321,HSI00000055
100006,HSI00000796
100226,HSI00000492
100068,HSI00000010
100232,HSI00000492
100269,HSI00000492
100230,HSI00000653
100176,HSI00001066
100026,HSI00000046
100242,HSI00000492
100093,HSI00000076
100231,HSI00000492
100025,HSI00000055
100106,HSI00001060
100167,HSI00000492
100132,HSI00001106
100260,HSI00000492
100047,HSI00000249
100086,HSI00000745
100077,HSI00000249
100236,HSI00000492
100092,HSI00001037
100302,HSI00000249
103300,HSI00000531
100032,HSI00000249
